speaker,0,1,2,3,4,5,6,7,8
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
christian x,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
christian x,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
christian x,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
christian x,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
christian x,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
christian x,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
christian x,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
christian x,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
alexander b,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
brandon l,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
christian x,1,1,1,1,1,1,1,1,1
steven z,1,1,1,1,1,1,1,1,1
akash v,1,1,1,1,1,1,1,1,1
